language,part,r,K,N,regime,chosen_off,chosen_on,pw_off,orbit_off,pw_on,orbit_on,ms
python,selector_asym,3,8,8,Ky4_Ny3,mobius,bulger,18.01,11.2,1.014,3.733,
python,selector_asym,3,12,8,Ky4_Ny3,mobius,bulger,153.6,11.2,2.984,3.733,
python,selector_asym,3,16,8,Ky4_Ny3,mobius,mobius,668.6,11.2,6.236,3.733,
python,selector_asym,3,24,8,Ky4_Ny3,mobius,mobius,5071,11.2,17.19,3.733,
python,selector_asym,3,40,8,Ky4_Ny3,mobius,mobius,6.186e+04,11.2,60.04,3.733,
python,selector_asym,3,64,8,Ky4_Ny3,mobius,mobius,5.993e+05,11.2,186.9,3.733,
python,selector_asym,3,6,32,Ky4_Ny3,mobius,bulger,31.42,11.2,1.343,3.733,
python,selector_asym,3,8,32,Ky4_Ny3,mobius,bulger,158,11.2,3.026,3.733,
python,selector_asym,3,12,32,Ky4_Ny3,mobius,mobius,1363,11.2,8.908,3.733,
python,selector_asym,3,16,32,Ky4_Ny3,mobius,mobius,5951,11.2,18.62,3.733,
python,selector_asym,3,24,32,Ky4_Ny3,mobius,mobius,4.518e+04,11.2,51.31,3.733,
python,selector_asym,3,40,32,Ky4_Ny3,mobius,mobius,5.514e+05,11.2,179.3,3.733,
python,selector_asym,3,64,32,Ky4_Ny3,mobius,mobius,nan,nan,nan,nan,
python,mobius_matrices,2,8,20,cos_fresh_3mat,,,,,,,1.12727
python,mobius_matrices,2,8,20,osd_fresh_2mat,,,,,,,0.75944
python,mobius_matrices,2,8,20,cos_warm_1mat,,,,,,,0.40192
python,mobius_matrices,2,8,60,cos_fresh_3mat,,,,,,,7.55717
python,mobius_matrices,2,8,60,osd_fresh_2mat,,,,,,,5.02987
python,mobius_matrices,2,8,60,cos_warm_1mat,,,,,,,2.56884
python,mobius_matrices,3,8,20,cos_fresh_3mat,,,,,,,3.03569
python,mobius_matrices,3,8,20,osd_fresh_2mat,,,,,,,2.04350
python,mobius_matrices,3,8,20,cos_warm_1mat,,,,,,,1.03689
python,mobius_matrices,3,8,60,cos_fresh_3mat,,,,,,,20.15637
python,mobius_matrices,3,8,60,osd_fresh_2mat,,,,,,,13.52571
python,mobius_matrices,3,8,60,cos_warm_1mat,,,,,,,6.97586
python,flip_check,2,12,8,forced_bulger_warm,mobius,bulger,,,,,0.48386
python,flip_check,2,12,8,forced_mobius_warm,mobius,bulger,,,,,0.20174
python,flip_check,2,6,32,forced_bulger_warm,mobius,bulger,,,,,0.43707
python,flip_check,2,6,32,forced_mobius_warm,mobius,bulger,,,,,0.22946
python,flip_check,2,8,32,forced_bulger_warm,mobius,bulger,,,,,0.77416
python,flip_check,2,8,32,forced_mobius_warm,mobius,bulger,,,,,0.23051
python,flip_check,3,8,8,forced_bulger_warm,mobius,bulger,,,,,2.04100
python,flip_check,3,8,8,forced_mobius_warm,mobius,bulger,,,,,0.41481
