language,part,r,K,N,regime,chosen_off,chosen_on,pw_off,orbit_off,pw_on,orbit_on,ms
matlab,selector_asym,2,6,32,Ky4_Ny3,mobius,bulger,6.693,3,0.661,1,
matlab,selector_asym,2,8,32,Ky4_Ny3,mobius,mobius,15.78,3,1.021,1,
matlab,selector_asym,2,12,32,Ky4_Ny3,mobius,mobius,51.72,3,1.856,1,
matlab,selector_asym,2,16,32,Ky4_Ny3,mobius,mobius,118.7,3,2.816,1,
matlab,selector_asym,2,24,32,Ky4_Ny3,mobius,mobius,378.3,3,5.032,1,
matlab,selector_asym,2,40,32,Ky4_Ny3,mobius,mobius,1608,3,10.38,1,
matlab,selector_asym,2,64,32,Ky4_Ny3,mobius,mobius,6042,3,20.12,1,
matlab,selector_asym,3,6,8,Ky4_Ny3,bulger,bulger,2.69,11.2,0.3644,3.733,
matlab,selector_asym,3,8,8,Ky4_Ny3,mobius,bulger,12.12,11.2,0.7882,3.733,
matlab,selector_asym,3,12,8,Ky4_Ny3,mobius,bulger,92.76,11.2,2.197,3.733,
matlab,selector_asym,3,16,8,Ky4_Ny3,mobius,mobius,375.1,11.2,4.425,3.733,
matlab,selector_asym,3,24,8,Ky4_Ny3,mobius,mobius,2569,11.2,11.59,3.733,
matlab,selector_asym,3,40,8,Ky4_Ny3,mobius,mobius,2.763e+04,11.2,38.02,3.733,
matlab,selector_asym,3,64,8,Ky4_Ny3,mobius,mobius,2.388e+05,11.2,111.8,3.733,
matlab,selector_asym,3,6,32,Ky4_Ny3,mobius,bulger,20.55,11.2,1.03,3.733,
matlab,selector_asym,3,8,32,Ky4_Ny3,mobius,bulger,95.29,11.2,2.227,3.733,
matlab,selector_asym,3,12,32,Ky4_Ny3,mobius,mobius,737.8,11.2,6.209,3.733,
matlab,selector_asym,3,16,32,Ky4_Ny3,mobius,mobius,2990,11.2,12.5,3.733,
matlab,selector_asym,3,24,32,Ky4_Ny3,mobius,mobius,2.05e+04,11.2,32.75,3.733,
matlab,selector_asym,3,40,32,Ky4_Ny3,mobius,mobius,2.206e+05,11.2,107.4,3.733,
matlab,selector_asym,3,64,32,Ky4_Ny3,mobius,mobius,1.906e+06,11.2,315.8,3.733,
matlab,mobius_matrices,2,8,20,cos_fresh_3mat,,,,,,,3.52000
matlab,mobius_matrices,2,8,20,osd_fresh_2mat,,,,,,,2.36246
matlab,mobius_matrices,2,8,20,cos_warm_1mat,,,,,,,1.33592
matlab,mobius_matrices,2,8,60,cos_fresh_3mat,,,,,,,12.32027
matlab,mobius_matrices,2,8,60,osd_fresh_2mat,,,,,,,7.69023
matlab,mobius_matrices,2,8,60,cos_warm_1mat,,,,,,,4.75394
matlab,mobius_matrices,3,8,20,cos_fresh_3mat,,,,,,,11.60502
matlab,mobius_matrices,3,8,20,osd_fresh_2mat,,,,,,,7.56917
matlab,mobius_matrices,3,8,20,cos_warm_1mat,,,,,,,3.61417
matlab,mobius_matrices,3,8,60,cos_fresh_3mat,,,,,,,38.09127
matlab,mobius_matrices,3,8,60,osd_fresh_2mat,,,,,,,26.20046
matlab,mobius_matrices,3,8,60,cos_warm_1mat,,,,,,,13.02465
matlab,flip_check,3,8,4,forced_bulger_warm,bulger,mobius,,,,,0.96402
matlab,flip_check,3,8,4,forced_mobius_warm,bulger,mobius,,,,,0.69315
matlab,flip_check,2,12,8,forced_bulger_warm,mobius,bulger,,,,,0.92169
matlab,flip_check,2,12,8,forced_mobius_warm,mobius,bulger,,,,,0.33835
matlab,flip_check,2,6,32,forced_bulger_warm,mobius,bulger,,,,,0.81598
matlab,flip_check,2,6,32,forced_mobius_warm,mobius,bulger,,,,,0.50635
matlab,flip_check,3,8,8,forced_bulger_warm,mobius,bulger,,,,,1.30102
matlab,flip_check,3,8,8,forced_mobius_warm,mobius,bulger,,,,,0.88602
